numacc,species_code,ind_code,spike_length_mm,spikelet_nb,tot3_fertile,tot_nb_fertile_fls,spikelet_length_mm,flower_length_mm,eta_len1,eta_len2,eta_len3,eta_len4,eta_len5,eta_len6,eta_wid1,eta_wid2,eta_wid3,eta_wid4,eta_wid5,eta_wid6,ova1,ova2,ova3,sti1,sti2,sti3,n_AF_splets,tot_AF_fertile,mean_eta_len,mean_eta_wid,eta_len_norm,eta_wid_norm,sti_mean,ova_mean,sti_norm,maleinvest,compactness,AF_index
AE320,Alo,Alo21,156.797661997138,22.0898071133224,2.34646679424692,21.2098495886975,13.2088110087773,10.7442497240075,6.38282266624977,6.36597489860846,6.0949730276684,5.37714670144201,6.14624061451161,5.92891663724927,0.779001376162319,0.955665744540745,0.940212138328987,0.658654210251126,0.879531161041551,0.956425275713553,1.2502985963424,1.27234584651434,1.30334056451738,2.89171819298859,3.01291472554455,3.17968794861047,20.9954537367151,7.83389819059774,6.04934575762159,0.86158165100638,0.563031008494211,0.0801900247237569,3.02810695571454,1.27532833579137,0.281835124229138,4.74336340521112,0.813415357133043,0.477045167148217
AE337,Alo,Alo24,165,15,5,25,10.8699219379845,10.1516762083333,6.21672040601428,6.13278552591734,7.14676413521413,6.59270936747741,6.71750407668526,6.81116230584585,0.815824491196856,0.455239624975186,0.789489231616913,0.65222016048049,0.655708417706573,0.704054757699459,0.977061652284498,0.763058760321841,1.09275601143386,2.48274462620291,2.27123785491273,3.01671461103925,15,4,6.60294096952571,0.678756113945913,0.6504286419326,0.0668614817904393,2.59023236405163,0.944292141346733,0.25515316987015,6.99247688338136,0.933923561388116,0.16
AE339,Alo,Alo25,120,11,4,12,10.908151031746,10.1849398580956,6.27369254386942,6.18059201042732,6.11858119562647,6.10940613625784,6.86777574462388,6.26211897198109,0.637780056297514,0.563923511880683,0.540356602953655,0.608584974011425,0.722280541333281,0.534089034555054,0.834022741887031,0.901519379233401,1.15668869716886,2.24213168290662,2.22354798012457,3.28974973527674,14,10,6.302027767131,0.601169120171935,0.618759448257495,0.059025298975535,2.58514313276931,0.964076939429764,0.253820166715514,6.53685147874043,0.933699930304812,0.535714285714286
PI598388,Amu,Amu01,290,19,1,8,9.97246689573051,5.98234585914943,4.81157543489916,4.87717134875231,4.80818307016185,4.94688744443253,4.67163598184866,4.71434526767117,0.657261054521329,0.636835078816047,0.56889902329151,0.5175557011945,0.590817545311983,0.739953385006203,0.697594624763255,0.428580609964376,0.931724102340338,2.41649448147315,1.23809001394933,1.75742674377093,20,0,4.80496642462761,0.618553631356929,0.803191011980505,0.103396501292367,1.8040037463978,0.685966445689323,0.30155457221497,7.00466685334606,0.59988625900685,0
PI560121,Amu,Amu02,230,15,7,36,9.26774880952381,5.78737625,4.10711489950163,4.08215200113833,4.22021983466312,3.98932673335511,4.21255871814199,4.09844558770331,0.745347862570464,0.809611556293162,0.907908081599028,0.8020222464251,0.811933037556975,0.885601884313282,0.624238530877063,1.1862287012474,0.526881338349068,1.56297969652683,2.61015690341432,1.34596882326316,16,0,4.11830296241725,0.827070778126335,0.711601040699099,0.142909453679694,1.83970180773477,0.779116190157844,0.317881839414669,5.28586495113509,0.624464081725297,0
PI560122,Amu,Amu03,155,13,5,24,8.71392988888889,5.3166882,4.8105939732907,4.71466546191611,4.7803709275205,4.82656390616917,4.92360795376239,4.76396797048598,0.583695797216875,0.525221088242082,0.587640949999751,0.551511759518584,0.521658754944967,0.592387759658487,0.554740397376539,0.668245837744243,0.689699375743519,1.73893600742784,1.75631348725762,1.86798705996381,20,0,4.80329503219081,0.560352684930124,0.903437412822292,0.105395062462027,1.78774551821642,0.6375618702881,0.336251713654455,7.53384927178958,0.610136674014247,0
PI560124,Amu,Amu04,260,12,9,39,11.6421920833333,6.60183602272727,5.05638129371291,4.87972956660195,5.11080905636967,4.98441454806426,4.96815900693299,5.00463935016049,0.599002806774562,0.620137729365343,0.644854769610648,0.721500106008154,0.635511440764947,0.80208456993073,1.08824898705193,0.927913694148626,0.805655353606758,2.51272531345791,2.0664983530858,1.8928801211677,16,0,5.00068880364038,0.670515237075731,0.757469404939045,0.101564963862695,2.15736792923714,0.940606011602438,0.326783022451671,5.31645422414544,0.567061252337376,0
AE367,Amu,Amu25,251,20,4.86188151746822,2,11.3325933333333,7.05853757352941,4.87629203661883,4.70354015794187,4.48284874550697,4.73948866106788,4.72452450358089,4.24416255728416,0.593091464560794,0.763558110745017,0.496119608317537,0.544468747474355,0.763949638518108,0.779003452371205,0.801774702769889,0.73872763778373,0.61182662773308,2.61363889362608,2.4879128964896,1.4790585535813,20,0,4.62847611033343,0.656698503664503,0.655727346085246,0.0930360569485699,2.19353678123233,0.7174429894289,0.310763633172178,6.45135039094577,0.62285280746532,0
AE374,Amu,Amu26,120.827526562931,23.3296213119355,2.45088390470497,23.4869038835009,11.8416337295866,9.97058870432518,3.7837713567673,4.1884957917848,4.34045143833477,3.98143818899429,4.6535151617015,3.83691170765405,0.614588538881835,0.629888981211742,0.830003453184524,0.770198312438022,0.911837323113262,0.85030388836107,1.31866495401381,1.35984314774762,1.25823343772447,2.79626717158632,2.95497139025432,2.78452244691893,23.361397644531,17.212172266769,4.13076394087278,0.767803416198409,0.414294889035076,0.0770068286805713,2.84525366958652,1.31224717982863,0.285364661401815,3.14785507210023,0.841994350780623,0.9018522169494
PI599130,Ase,Ase01,130,12,5,14,11.3902681333333,8.7981144,4.56662136237315,4.54995822452133,4.61103065284412,4.56679408305549,4.65423833312852,4.55504720727476,0.585791142823728,0.577320882943856,0.591555240738503,0.583419170667738,0.570803072942887,0.601190248487554,0.957400213896093,0.983666129984884,0.995024689612279,2.04864165223366,2.09822835854516,2.186616990879,11,15,4.5839483105329,0.585013293100711,0.521014856380237,0.0664930309499853,2.11116233388594,0.978697011164418,0.239956226743987,4.6837256661069,0.772423818035729,0.818181818181818
