start, end, rate
1828000, 1828999, 9.92175e-08
1831000, 1831999, 9.96764e-08
1834000, 1834999, 1.00137e-07
1837000, 1837999, 1.00601e-07
1840000, 1840999, 1.01066e-07
1843000, 1843999, 1.01533e-07
1846000, 1846999, 1.02003e-07
1849000, 1849999, 1.02475e-07
1852000, 1852999, 1.02949e-07
1855000, 1855999, 1.03425e-07
1858000, 1858999, 1.03903e-07
1861000, 1861999, 1.04384e-07
1864000, 1864999, 1.04866e-07
1867000, 1867999, 1.05351e-07
1870000, 1870999, 1.05839e-07
1873000, 1873999, 1.06328e-07
1876000, 1876999, 1.0682e-07
1879000, 1879999, 1.07314e-07
1882000, 1882999, 1.0781e-07
1885000, 1885999, 1.08309e-07
1888000, 1888999, 1.0881e-07
1891000, 1891999, 1.09313e-07
1894000, 1894999, 1.09819e-07
1897000, 1897999, 1.10327e-07
1900000, 1900999, 1.10837e-07
1903000, 1903999, 1.1135e-07
1906000, 1906999, 1.11865e-07
1909000, 1909999, 1.12382e-07
1912000, 1912999, 1.12902e-07
1915000, 1915999, 1.13424e-07
1918000, 1918999, 1.13948e-07
1921000, 1921999, 1.14475e-07
1924000, 1924999, 1.15005e-07
1927000, 1927999, 1.15537e-07
1930000, 1930999, 1.16071e-07
1933000, 1933999, 1.16608e-07
1936000, 1936999, 1.17147e-07
1939000, 1939999, 1.17689e-07
1942000, 1942999, 1.18233e-07
1945000, 1945999, 1.1878e-07
1948000, 1948999, 1.1933e-07
1951000, 1951999, 1.19882e-07
1954000, 1954999, 1.20436e-07
1957000, 1957999, 1.20993e-07
1960000, 1960999, 1.21553e-07
1963000, 1963999, 1.22115e-07
1966000, 1966999, 1.2268e-07
1969000, 1969999, 1.23247e-07
1972000, 1972999, 1.23817e-07
1975000, 1975999, 1.2439e-07
1978000, 1978999, 1.24965e-07
1981000, 1981999, 1.25543e-07
1984000, 1984999, 1.26124e-07
1987000, 1987999, 1.26707e-07
1990000, 1990999, 1.27293e-07
1993000, 1993999, 1.27882e-07
1996000, 1996999, 1.28473e-07
1999000, 1999999, 1.29067e-07
2002000, 2002999, 1.29664e-07
2005000, 2005999, 1.30264e-07
2008000, 2008999, 1.30867e-07
2011000, 2011999, 1.31472e-07
2014000, 2014999, 1.3208e-07
2017000, 2017999, 1.32691e-07
2020000, 2020999, 1.33304e-07
2023000, 2023999, 1.33921e-07
2026000, 2026999, 1.3454e-07
2029000, 2029999, 1.35163e-07
2032000, 2032999, 1.35788e-07
2035000, 2035999, 1.36416e-07
2038000, 2038999, 1.37047e-07
2041000, 2041999, 1.37681e-07
2044000, 2044999, 1.38317e-07
2047000, 2047999, 1.38957e-07
2050000, 2050999, 1.396e-07
2053000, 2053999, 1.40245e-07
2056000, 2056999, 1.40894e-07
2059000, 2059999, 1.41546e-07
2062000, 2062999, 1.422e-07
2065000, 2065999, 1.42858e-07
2068000, 2068999, 1.43519e-07
2071000, 2071999, 1.44183e-07
2074000, 2074999, 1.44849e-07
2077000, 2077999, 1.45519e-07
2080000, 2080999, 1.46192e-07
2083000, 2083999, 1.46869e-07
2086000, 2086999, 1.47548e-07
2089000, 2089999, 1.4823e-07
2092000, 2092999, 1.48916e-07
2095000, 2095999, 1.49605e-07
2098000, 2098999, 1.50296e-07
2101000, 2101999, 1.50992e-07
2104000, 2104999, 1.5169e-07
2107000, 2107999, 1.52392e-07
2110000, 2110999, 1.53096e-07
2113000, 2113999, 1.53804e-07
2116000, 2116999, 1.54516e-07
2119000, 2119999, 1.5523e-07
2122000, 2122999, 1.55948e-07
2125000, 2125999, 1.5667e-07
2128000, 2128999, 1.57394e-07
2131000, 2131999, 1.58122e-07
2134000, 2134999, 1.58854e-07
2137000, 2137999, 1.59588e-07
2140000, 2140999, 1.60326e-07
2143000, 2143999, 1.61068e-07
2146000, 2146999, 1.61813e-07
2149000, 2149999, 1.62561e-07
2152000, 2152999, 1.63313e-07
2155000, 2155999, 1.64068e-07
2158000, 2158999, 1.64827e-07
2161000, 2161999, 1.6559e-07
2164000, 2164999, 1.66355e-07
2167000, 2167999, 1.67125e-07
2170000, 2170999, 1.67898e-07
2173000, 2173999, 1.68674e-07
2176000, 2176999, 1.69454e-07
2179000, 2179999, 1.70238e-07
2182000, 2182999, 1.71026e-07
2185000, 2185999, 1.71817e-07
2188000, 2188999, 1.72611e-07
2191000, 2191999, 1.7341e-07
2194000, 2194999, 1.74212e-07
2197000, 2197999, 1.75017e-07
2200000, 2200999, 1.75827e-07
2203000, 2203999, 1.7664e-07
2206000, 2206999, 1.77457e-07
2209000, 2209999, 1.78278e-07
2212000, 2212999, 1.79102e-07
2215000, 2215999, 1.79931e-07
2218000, 2218999, 1.80763e-07
2221000, 2221999, 1.81599e-07
2224000, 2224999, 1.82439e-07
2227000, 2227999, 1.83283e-07
2230000, 2230999, 1.8413e-07
2233000, 2233999, 1.84982e-07
2236000, 2236999, 1.85837e-07
2239000, 2239999, 1.86697e-07
2242000, 2242999, 1.8756e-07
2245000, 2245999, 1.88428e-07
2248000, 2248999, 1.89299e-07
2251000, 2251999, 1.90175e-07
2254000, 2254999, 1.91054e-07
2257000, 2257999, 1.91938e-07
2260000, 2260999, 1.92826e-07
2263000, 2263999, 1.93718e-07
2266000, 2266999, 1.94614e-07
2269000, 2269999, 1.95514e-07
2272000, 2272999, 1.96418e-07
2275000, 2275999, 1.97326e-07
2278000, 2278999, 1.98239e-07
2281000, 2281999, 1.99156e-07
2284000, 2284999, 2.00077e-07
2287000, 2287999, 2.01002e-07
2290000, 2290999, 2.01932e-07
2293000, 2293999, 2.02866e-07
2296000, 2296999, 2.03804e-07
2299000, 2299999, 2.04747e-07
2302000, 2302999, 2.05694e-07
2305000, 2305999, 2.06645e-07
2308000, 2308999, 2.07601e-07
2311000, 2311999, 2.08561e-07
2314000, 2314999, 2.09526e-07
2317000, 2317999, 2.10495e-07
2320000, 2320999, 2.11468e-07
2323000, 2323999, 2.12446e-07
2326000, 2326999, 2.13429e-07
2329000, 2329999, 2.14416e-07
2332000, 2332999, 2.15408e-07
2335000, 2335999, 2.16404e-07
2338000, 2338999, 2.17405e-07
2341000, 2341999, 2.1841e-07
2344000, 2344999, 2.19421e-07
2347000, 2347999, 2.20435e-07
2350000, 2350999, 2.21455e-07
2353000, 2353999, 2.22479e-07
2356000, 2356999, 2.23508e-07
2359000, 2359999, 2.24542e-07
2362000, 2362999, 2.2558e-07
2365000, 2365999, 2.26624e-07
2368000, 2368999, 2.27672e-07
2371000, 2371999, 2.28725e-07
2374000, 2374999, 2.29783e-07
2377000, 2377999, 2.30846e-07
2380000, 2380999, 2.31913e-07
2383000, 2383999, 2.32986e-07
2386000, 2386999, 2.34063e-07
2389000, 2389999, 2.35146e-07
2392000, 2392999, 2.36234e-07
2395000, 2395999, 2.37326e-07
2398000, 2398999, 2.38424e-07
2401000, 2401999, 2.39527e-07
